run_id,model_config_id,task_file,total_tasks,passed,failed,pass_rate,average_score,average_latency_sec
2026-05-01_19-56-53,full-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-12\test_full_run_progress_and_sum0\tasks.jsonl,2,2,0,1.0000,1.0000,0.500
2026-05-01_19-56-53,err-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-12\test_error_handling_continues_0\tasks.jsonl,2,1,1,0.5000,0.5000,0.125
2026-05-01_19-57-51,full-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-13\test_full_run_progress_and_sum0\tasks.jsonl,2,2,0,1.0000,1.0000,0.500
2026-05-01_19-57-51,err-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-13\test_error_handling_continues_0\tasks.jsonl,2,1,1,0.5000,0.5000,0.125
2026-05-01_20-32-34,full-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-14\test_full_run_progress_and_sum0\tasks.jsonl,2,2,0,1.0000,1.0000,0.500
2026-05-01_20-32-34,err-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-14\test_error_handling_continues_0\tasks.jsonl,2,1,1,0.5000,0.5000,0.125
2026-05-01_20-33-01,full-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-15\test_full_run_progress_and_sum0\tasks.jsonl,2,2,0,1.0000,1.0000,0.500
2026-05-01_20-33-01,err-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-15\test_error_handling_continues_0\tasks.jsonl,2,1,1,0.5000,0.5000,0.125
2026-05-01_20-34-20,full-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-16\test_full_run_progress_and_sum0\tasks.jsonl,2,2,0,1.0000,1.0000,0.500
2026-05-01_20-34-20,err-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-16\test_error_handling_continues_0\tasks.jsonl,2,1,1,0.5000,0.5000,0.125
2026-05-01_21-02-19,full-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-19\test_full_run_progress_and_sum0\tasks.jsonl,2,2,2,0,1.0000,1.0000,0.500,1
2026-05-01_21-02-19,err-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-19\test_error_handling_continues_0\tasks.jsonl,2,2,1,1,0.5000,0.5000,0.125,1
2026-05-01_21-08-32,full-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-21\test_full_run_progress_and_sum0\tasks.jsonl,2,2,2,0,1.0000,1.0000,0.500,1
2026-05-01_21-08-32,err-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-21\test_error_handling_continues_0\tasks.jsonl,2,2,1,1,0.5000,0.5000,0.125,1
2026-05-01_21-08-32,repeat-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-21\test_repeats_defaults_to_10\tasks.jsonl,2,2,2,0,1.0000,1.0000,0.500,1
2026-05-01_21-08-32,repeat3-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-21\test_repeats_3_produces_correc0\tasks.jsonl,2,6,6,0,1.0000,1.0000,0.500,3
2026-05-01_21-08-32,err-repeat-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-21\test_repeats_with_errors0\tasks.jsonl,2,6,5,1,0.8333,0.8333,0.208,3
2026-05-01_21-08-40,full-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-22\test_full_run_progress_and_sum0\tasks.jsonl,2,2,2,0,1.0000,1.0000,0.500,1
2026-05-01_21-08-40,err-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-22\test_error_handling_continues_0\tasks.jsonl,2,2,1,1,0.5000,0.5000,0.125,1
2026-05-01_21-08-40,repeat-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-22\test_repeats_defaults_to_10\tasks.jsonl,2,2,2,0,1.0000,1.0000,0.500,1
2026-05-01_21-08-40,repeat3-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-22\test_repeats_3_produces_correc0\tasks.jsonl,2,6,6,0,1.0000,1.0000,0.500,3
2026-05-01_21-08-40,err-repeat-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-22\test_repeats_with_errors0\tasks.jsonl,2,6,5,1,0.8333,0.8333,0.208,3
2026-05-01_21-09-33,full-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-23\test_full_run_progress_and_sum0\tasks.jsonl,2,2,2,0,1.0000,1.0000,0.500,1
2026-05-01_21-09-33,err-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-23\test_error_handling_continues_0\tasks.jsonl,2,2,1,1,0.5000,0.5000,0.125,1
2026-05-01_21-09-33,repeat-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-23\test_repeats_defaults_to_10\tasks.jsonl,2,2,2,0,1.0000,1.0000,0.500,1
2026-05-01_21-09-33,repeat3-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-23\test_repeats_3_produces_correc0\tasks.jsonl,2,6,6,0,1.0000,1.0000,0.500,3
2026-05-01_21-09-33,err-repeat-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-23\test_repeats_with_errors0\tasks.jsonl,2,6,5,1,0.8333,0.8333,0.208,3
2026-05-01_21-18-14,full-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-24\test_full_run_progress_and_sum0\tasks.jsonl,2,2,2,0,1.0000,1.0000,0.500,1
2026-05-01_21-18-14,err-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-24\test_error_handling_continues_0\tasks.jsonl,2,2,1,1,0.5000,0.5000,0.125,1
2026-05-01_21-18-14,repeat-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-24\test_repeats_defaults_to_10\tasks.jsonl,2,2,2,0,1.0000,1.0000,0.500,1
2026-05-01_21-18-15,repeat3-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-24\test_repeats_3_produces_correc0\tasks.jsonl,2,6,6,0,1.0000,1.0000,0.500,3
2026-05-01_21-18-15,err-repeat-cfg,C:\Users\ytrjx\AppData\Local\Temp\pytest-of-ytrjx\pytest-24\test_repeats_with_errors0\tasks.jsonl,2,6,5,1,0.8333,0.8333,0.208,3
